participant,task_label,task_duration_s,pupil_mean_bc,pupil_slope,blink_time_frac,blink_per_min,pupil_valid_pct,fix_count,fix_rate_hz,fix_dur_mean_s,fix_dur_std_s,fix_dur_total_s,sac_count,sac_rate_hz,sac_amp_mean_px,sac_amp_std_px,pupil_mean_bc_z,pupil_slope_z,blink_time_frac_z,blink_per_min_z,pupil_valid_pct_z,fix_count_z,fix_rate_hz_z,fix_dur_mean_s_z,fix_dur_std_s_z,fix_dur_total_s_z,sac_count_z,sac_rate_hz_z,sac_amp_mean_px_z,sac_amp_std_px_z
P19,task3_8_3,187.87,0.131,9.12e-06,0.0216,4.15,99.9,309,1.784,0.5607,0.5982,173.24,232,36.722,156.3994,241.8043,0.5407664536,0.4894010054,0.2138111241,2.153255443,0.9194839497,-1.101219639,0.09756479409,-0.1371712289,1.01157842,-1.076355982,-1.209535419,-0.9518975171,1.38741035,0.9667020753
P20,task1_5_2,557.29,0.3015,0.00040667,0.0239,3.01,99.1,933,1.791,0.5583,0.5804,520.93,796,43.162,91.322,121.5313,1.317944059,0.7509249777,-1.242370495,-1.447428311,1.087748887,0.8416099471,-0.5986484003,0.562470835,0.8659121493,0.913439613,0.927681965,0.3537951057,-0.8788173389,-0.8789928285
P20,task1_6_2,125.82,-0.4412,-0.00272195,0.0223,2.38,99.1,229,1.939,0.5156,0.4346,118.08,191,46.873,92.6899,120.6683,-1.165342474,-2.407978844,-1.268744288,-1.754458559,1.087748887,-0.7879098625,-0.09836628148,-0.02894764947,-1.000862823,-0.7793447063,-0.7501882557,1.728019135,-0.8125597348,-0.9014585366
P20,task2_2_1,480.51,-0.2559,-0.0004092,0.1197,5.49,91,719,1.776,0.5631,0.5768,404.89,575,40.649,108.3399,131.9251,-0.5457746879,-0.07284232579,0.3367603717,-0.2388013039,-0.4607161368,0.3462729595,-0.6493526692,0.6289534749,0.8198189401,0.4258370503,0.3147740001,-0.576796375,-0.05451345705,-0.608420317
P20,task2_5_1,969.78,-0.3851,-0.00014491,0.0919,6.13,94.6,1585,1.869,0.535,0.5378,847.97,1303,43.336,121.1669,218.0584,-0.9777669055,0.1940058984,-0.1214842848,0.07310243996,0.2274905406,2.350767498,-0.3349862026,0.2397530203,0.3204758406,2.28766869,2.333764943,0.4182292154,0.566793866,1.633810946
P20,task3_10_1,284.56,0.0661,7.65e-06,0.1093,5.69,92.4,478,1.991,0.5022,0.4745,240.04,372,40.077,102.3742,140.8819,0.5308622631,0.3480426197,0.165330716,-0.1413313839,-0.1930802067,-0.2115598162,0.07740851704,-0.2145450193,-0.489996421,-0.2668661768,-0.2482138591,-0.7886142529,-0.3434768231,-0.3752559431
P20,task3_3_1,74.87,0.0092,-0.00110449,0.1019,7.21,93.8,163,2.595,0.3854,0.4354,62.82,128,39.079,145.9068,213.3079,0.3406118205,-0.7748624619,0.04335192254,0.5994400076,0.07455572338,-0.9406773447,2.119100408,-1.832289258,-0.9906198875,-1.011548409,-0.9249086258,-1.158184606,1.765131828,1.510145422
P20,task3_4_2,354.45,-0.0407,-0.00012745,0.2408,8.29,80.6,528,2.032,0.4921,0.5129,259.82,421,39.374,142.7069,194.1802,0.173766529,0.2116349044,2.332926843,1.125777575,-2.44886876,-0.09582687517,0.2160001851,-0.3544355742,0.001664476999,-0.1837501936,-0.1123202379,-1.048942868,1.610136794,1.012211094
P20,task3_8_2,347.53,0.2092,0.00035001,0.0843,5.52,94.6,554,1.833,0.5455,0.5325,302.22,439,41.884,96.6087,147.5916,1.009330424,0.693716531,-0.2467598024,-0.2241808159,0.2274905406,-0.03564574584,-0.4566764477,0.3851837951,0.2526163937,-0.005584486435,-0.06240013217,-0.1194623206,-0.6227430094,-0.2005883162
P20,task3_8_3,114.67,0.1696,0.00080832,0.1178,8.37,92.8,224,2.308,0.4332,0.3959,97.04,177,41.406,89.1444,120.9113,0.8769241401,1.156462793,0.3054414923,1.164765543,-0.1166127981,-0.7994831566,1.148958731,-1.170232968,-1.496364822,-0.8677552364,-0.7890150046,-0.2964709668,-0.9842947558,-0.8951327347
