participant,task_id,n_explorations,total_duration_s,tonic_mean_uS,tonic_slope,scr_count,scr_rate,scr_amp_mean,scr_amp_sum,bc_mean_uS,tonic_mean_uS_z,tonic_slope_z,scr_count_z,scr_rate_z,scr_amp_mean_z,scr_amp_sum_z,bc_mean_uS_z
P09,task3_3_1,2,111,1.978,-0.001657,5,0.045,0.4505,2.2526,-0.1506,1.404804493,-1.886582815,-0.6964303162,0.3495535027,2.063165381,0.1402127919,1.152128585
P09,task3_4_2,2,300.84,1.5116,-0.000528,10,0.0332,0.1404,1.4037,-0.1667,-0.3791335918,0.1131634799,-0.01513978948,-0.3684848336,-0.6474161102,-0.4022420144,0.9838048986
P09,task3_8_2,1,193.14,1.5477,-0.000901,7,0.0362,0.1288,0.9014,-0.3982,-0.2410543362,-0.5475144368,-0.4239141055,-0.1859327142,-0.7488116126,-0.7232162743,-1.43650152
P09,task3_8_3,1,83.77,1.8576,-0.001148,5,0.0597,0.286,1.4302,-0.3409,0.944285313,-0.9850142905,-0.6964303162,1.244058888,0.6252722649,-0.3853082738,-0.8374364759
P09,task3_10_1,1,191.7,1.6309,-0.00034,1,0.0052,0.1345,0.1345,-0.2027,0.07717818661,0.44615932,-1.241462738,-2.072304615,-0.6989879606,-1.213272336,0.6074289544
P10,task1_5_2,1,210.73,5.8849,0.000745,16,0.0759,1.626,26.0166,1.0658,-1.421191511,0.6725583126,0.02793993781,0.3733227412,-0.08153529521,-0.1389169415,1.041961137
P10,task1_6_2,1,89.47,6.7738,-0.00057,6,0.0671,1.4325,8.5953,-0.3213,-0.4204129027,0.1554434389,-0.9499578856,-0.05254171914,-0.3539565023,-0.8151584289,-0.3069895365
P10,task2_2_1,1,335.56,8.2363,0.001146,35,0.1043,2.0349,71.2222,1.2635,1.226160069,0.8302488559,1.885945802,1.7477035,0.4941392866,1.615825941,1.234223806
P10,task3_4_2,1,274.28,8.3291,-0.000494,19,0.0693,3.1225,59.3274,0.6129,1.33064005,0.1853299259,0.3213092848,0.05392439596,2.025329493,1.154106251,0.6015172178
P10,task3_8_2,1,345.07,7.369,-6.20E-05,19,0.0551,1.297,24.6437,-0.1684,0.249700077,0.3552110099,0.3213092848,-0.6332659833,-0.5447217404,-0.192208713,-0.1582947359
P10,task3_8_3,1,248.89,6.6941,-0.00106,9,0.0362,1.2384,11.1457,-1.2477,-0.510144093,-0.03724575353,-0.6565885386,-1.547906699,-0.6272224263,-0.7161597153,-1.207910814
P10,task3_10_1,1,86.44,6.7433,-0.006462,6,0.0694,1.0361,6.2167,-1.2442,-0.4547516894,-2.16154579,-0.9499578856,0.05876376482,-0.912032815,-0.9074883928,-1.204507074
P11,task1_5_2,1,292.06,2.4542,-0.001313,12,0.0411,0.4124,4.9485,-0.3685,-1.176982638,0.5229630702,0.03102858014,-0.2820495581,-0.5140721737,-0.04652448532,0.6187682288
P11,task1_6_2,1,96.71,3.4423,-0.003282,7,0.0724,0.9186,6.4305,-0.1464,0.4884570649,-0.8761052522,-0.5895430227,1.466099188,0.9398925382,1.425964297,0.9417682256
P11,task2_2_1,1,128.54,3.8045,-0.003171,5,0.0389,0.844,4.2199,-0.9824,1.098944121,-0.797234463,-0.8377716638,-0.404922633,0.7256180074,-0.7704484576,-0.2740264493
P11,task2_5_1,1,714.17,2.909,-0.00043,23,0.0322,0.1905,4.3824,-1.6786,-0.4104185483,1.150376645,1.396286106,-0.7791269973,-1.151438372,-0.6089913543,-1.286510005
P12,task1_5_2,1,739.65,1.8638,-0.00028,16,0.0216,0.112,1.7915,-0.639,-1.015097698,-1.091089451,-0.8153680433,-1.119067396,-1.11955029,-0.9516574031,-0.5816124222
P12,task1_6_2,1,723.19,2.2191,-0.000134,20,0.0277,0.2485,4.9692,0.3375,0.03091219789,0.2182178902,-0.3003987528,0.3130258452,0.3149173062,-0.09052908312,1.154690024
P12,task2_2_1,1,1039.69,2.5429,-6.10E-05,31,0.0298,0.2951,9.1491,-0.6342,0.9841855003,0.8728715609,1.115766796,0.8060415513,0.8046329837,1.042186486,-0.5730776022
P13,task1_5_2,1,207.62,3.0138,0.00068,13,0.0626,0.4408,5.7299,-0.0205,-1.632319815,0.8194921093,0.8023147166,0.7220557128,-1.198507381,-0.9175088792,1.795564219
P13,task1_6_2,1,313.36,4.1459,-0.000233,18,0.0574,0.2072,3.7287,-1.3935,-1.083416748,0.6563876727,1.752424249,0.4376095229,-1.336029112,-1.09947277,-0.1528351114
P13,task2_2_1,1,231.65,5.0972,-0.000936,8,0.0345,1.2342,9.8738,-1.1008,-0.622175261,0.5307990431,-0.1477948162,-0.8150477364,-0.7314280086,-0.5407148725,0.2625301356
P13,task2_5_1,1,634.68,6.1412,0.0004,15,0.0236,2.7665,41.4973,-0.9198,-0.1159878203,0.7694710334,1.18235853,-1.411290711,0.1706462577,2.334727409,0.5193839439
P13,task3_3_1,1,59.28,5.7303,-0.001467,5,0.0843,3.4193,17.0965,-1.8419,-0.3152142757,0.4359376457,-0.7178605359,1.909071544,0.5549535611,0.1160263791,-0.7891513967
P13,task3_4_2,1,108.76,8.6462,-0.004028,5,0.046,2.6588,13.2938,-1.7474,1.098571125,-0.02157655136,-0.7178605359,-0.1859840472,0.1072426171,-0.2297432025,-0.6550481653
P13,task3_8_2,1,162.59,8.6777,-0.002952,7,0.0431,2.1387,14.9706,-2.0534,1.113844022,0.1706472972,-0.3378167228,-0.3446174993,-0.1989433947,-0.07727615689,-1.0892872
P13,task3_8_3,1,85.41,8.061,-0.014875,3,0.0351,5.4637,16.391,-0.5135,0.8148346401,-1.959357299,-1.097904349,-0.7822270222,1.758504191,0.05187710626,1.095956885
P13,task3_10_1,1,86.19,7.9105,-0.011754,5,0.058,3.9605,19.8026,-1.9814,0.7418641326,-1.401800951,-0.7178605359,0.4704302371,0.8735612704,0.3620849861,-0.9871133098
